"3391942231","3391942231","PUB","TH","Thailand","Chon Buri","Phatthaya","INEXT Broadband Company Limited","inter.net.th","ISP",,
"36001910","36001910","PUB","IT","Italy","Lombardia","Milan","Vodafone Italia S.p.A.","vodafone.it","ISP/MOB",,
"1942681382","1942681382","PUB","CN","China","Zhejiang","Taizhou","ChinaNet Zhejiang Province Network","chinatelecom.com.cn","ISP/MOB",,
"1521502326","1521502326","PUB","CZ","Czech Republic","Stredocesky kraj","Slany","O2 Czech Republic A.S.","o2.cz","ISP/MOB",,
"2972384570","2972384570","PUB","BR","Brazil","Bahia","Salvador","Vivo S.A.","vivo.com.br","ISP/MOB",,
"2970274037","2970274037","PUB","BR","Brazil","Paraiba","Campina Grande","Isptec Sistemas de Comunicacao Eireli","isptec.net.br","ISP",,
"3220326472","3220326472","PUB","BR","Brazil","Acre","Rio Branco","Verdenet Fibra Optica","verdenettelecom.net.br","ISP",,
"2833563826","2833563826","PUB","HN","Honduras","Cortes","San Pedro Sula","MultiCable de Honduras","multicablehonduras.com","ISP",,
"2959768039","2959768039","PUB","RS","Serbia","Juznobacki okrug","Novi Sad","Team-Net SZR Mihajlovic Radovan Preduzetnik","teamnet.ws","DCH",,
"1899357279","1899357279","PUB","TH","Thailand","Phetchaburi","Phetchaburi","TOT Public Company Limited","tot.co.th","ISP/MOB",,
"2994756157","2994756157","PUB","SG","Singapore","Singapore","Singapore","DigitalOcean LLC","digitalocean.com","DCH",,
"2830456622","2830456622","PUB","BR","Brazil","Ceara","Sobral","M. R. Melo Alexandrino","-","COM",,
"2742934531","2742934531","PUB","CN","China","Guangdong","Shenzhen","China Unicom Guangdong Province Network","chinaunicom.com","ISP/MOB",,
"2059965025","2059965025","PUB","ID","Indonesia","Jakarta Raya","Jakarta","PT Qiandra Information Technology","qiandra.net.id","DCH",,
"2329075591","2329075591","PUB","US","United States","Kansas","Fredonia","CenturyLink Communications LLC","centurylink.com","ISP",,
"1744097113","1744097113","PUB","ID","Indonesia","Banten","Tangerang","PT. Web Data Solusindo","webdatasolusindo.co.id","ISP",,
"2079939658","2079939658","PUB","CN","China","Guangdong","Guangzhou","Wonten Network Ltd.","cdnzz.net","DCH",,
"2079940518","2079940518","PUB","CN","China","Guangdong","Guangzhou","Wonten Network Ltd.","cdnzz.net","DCH",,
"3399450530","3399450530","PUB","ID","Indonesia","Jakarta Raya","Jakarta","PT. IndoInternet","indo.net.id","ISP",,
"1979635770","1979635770","PUB","IN","India","Maharashtra","Nagpur","Bharat Sanchar Nigam Limited","bsnl.in","ISP/MOB",,
"3060003123","3060003123","PUB","CN","China","Jiangxi","Pingxiang","ChinaNet Jiangxi Province Network","chinatelecom.com.cn","ISP/MOB",,
"1502921611","1502921612","PUB","RU","Russian Federation","Permskiy kray","Perm'","For IP Pools Interfaces and Network for Connection Points","ccl.ru","COM",,
"2746009015","2746009015","PUB","FR","France","Ile-de-France","Paris","Online S.A.S.","online.net","DCH",,
"97143950","97143950","PUB","IR","Iran, Islamic Republic of","Ilam","Dehloran","Pishgaman Toseeh Ertebatat Company (Private Joint Stock)","pishgaman.net","ISP",
"1489607079","1489607079","PUB","RU","Russian Federation","Leningradskaya oblast'","Murino","Skynet Ltd.","sknt.ru","ISP",,
"1236126038","1236126038","PUB","US","United States","Maryland","Silver Spring","Comcast Cable Communications LLC","comcast.net","ISP",,
"1162278862","1162278862","PUB","CA","Canada","Quebec","Montreal","Le Groupe Videotron Ltee","videotron.com","ISP",,
"39302108","39302108","PUB","GR","Greece","Attiki","Athens","Otenet","otenet.gr","ISP/MOB",,
"17496084","17496084","PUB","TH","Thailand","Phuket","Thalang","TOT Public Company Limited","tot.co.th","ISP/MOB",,
"2937529406","2937529406","PUB","CN","China","Jilin","Liaoyuan","China Unicom Jilin Province Network","chinaunicom.com","ISP/MOB",,
